12:11:41.372 [background-preinit] INFO   o.h.validator.internal.util.Version -HV000001: Hibernate Validator 8.0.1.Final
12:11:41.462 [main] INFO   S.Api.service.ProductServiceImplTest -Starting ProductServiceImplTest using Java 21.0.2 with PID 24092 (started by harithasri in C:\Users\harithasri\Downloads\Api\Api)
12:11:41.464 [main] DEBUG  S.Api.service.ProductServiceImplTest -Running with Spring Boot v3.2.1, Spring v6.1.2
12:11:41.466 [main] INFO   S.Api.service.ProductServiceImplTest -No active profile set, falling back to 1 default profile: "default"
12:11:42.845 [main] INFO   o.s.d.r.c.RepositoryConfigurationDelegate -Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
12:11:42.922 [main] INFO   o.s.d.r.c.RepositoryConfigurationDelegate -Finished Spring Data repository scanning in 66 ms. Found 1 MongoDB repository interface.
12:11:47.435 [main] INFO   org.mongodb.driver.client -MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync", "version": "4.11.1"}, "os": {"type": "Windows", "name": "Windows 11", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/21.0.2+13-58"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=null, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=null, transportSettings=null, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, CollectionCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.client.model.mql.ExpressionCodecProvider@3c743d40, com.mongodb.Jep395RecordCodecProvider@5aac6f9f, com.mongodb.KotlinCodecProvider@2444c3df]}, loggerSettings=LoggerSettings{maxDocumentLength=1000}, clusterSettings={hosts=[localhost:27017], srvServiceName=mongodb, mode=SINGLE, requiredClusterType=UNKNOWN, requiredReplicaSetName='null', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='15 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, proxySettings=ProxySettings{host=null, port=null, username=null, password=null}}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=false, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=UNSPECIFIED, serverApi=null, autoEncryptionSettings=null, dnsClient=null, inetAddressResolver=null, contextProvider=null}
12:11:47.470 [cluster-ClusterId{value='65d98fab4ebc0d5ddd2f03ca', description='null'}-localhost:27017] INFO   org.mongodb.driver.cluster -Monitor thread successfully connected to server with description ServerDescription{address=localhost:27017, type=STANDALONE, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=21, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=43437400}
12:11:49.838 [main] INFO   o.s.s.web.DefaultSecurityFilterChain -Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7cd3860, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@44f23927, org.springframework.security.web.context.SecurityContextHolderFilter@7f5e9949, org.springframework.security.web.header.HeaderWriterFilter@64d53f0d, org.springframework.web.filter.CorsFilter@59cde35, org.springframework.security.web.authentication.logout.LogoutFilter@3d2eb7fa, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@54d2f5d3, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2e02cc37, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@6e355249, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@43de9fc9, org.springframework.security.web.access.ExceptionTranslationFilter@6bd2f039, org.springframework.security.web.access.intercept.AuthorizationFilter@4727e5fc]
12:11:50.740 [main] INFO   S.Api.service.ProductServiceImplTest -Started ProductServiceImplTest in 9.758 seconds (process running for 12.543)
08:29:29.170 [main] INFO   o.s.t.c.s.AnnotationConfigContextLoaderUtils -Could not detect default configuration classes for test class [Springboot.Api.service.ProductServiceImplTest]: ProductServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
